filename,line,rad_score,session
output_image_line_x_252.21_y_147.18_x_28.71_y_136.28_rad_score_2session_1100.png,"[{'x': 252.21, 'y': 147.18} {'x': 28.71, 'y': 136.28}]",2,1100
output_image_line_x_247.48_y_147.54_x_35.98_y_140.28_rad_score_2session_1100.png,"[{'x': 247.48, 'y': 147.54} {'x': 35.98, 'y': 140.28}]",2,1100
output_image_line_x_248.21_y_145.36_x_29.07_y_136.64_rad_score_2session_1100.png,"[{'x': 248.21, 'y': 145.36} {'x': 29.07, 'y': 136.64}]",2,1100
output_image_line_x_28.71_y_129.74_x_266.38_y_153.36_rad_score_1session_11300.png,"[{'x': 28.71, 'y': 129.74} {'x': 266.38, 'y': 153.36}]",1,11300
output_image_line_x_257.66_y_149.72_x_40.7_y_127.19_rad_score_1session_11300.png,"[{'x': 257.66, 'y': 149.72} {'x': 40.7, 'y': 127.19}]",1,11300
output_image_line_x_274.01_y_156.63_x_25.44_y_133.73_rad_score_1session_11300.png,"[{'x': 274.01, 'y': 156.63} {'x': 25.44, 'y': 133.73}]",1,11300
output_image_line_x_263.47_y_147.54_x_21.08_y_143.55_rad_score_1session_12010.png,"[{'x': 263.47, 'y': 147.54} {'x': 21.08, 'y': 143.55}]",1,12010
output_image_line_x_237.31_y_150.45_x_42.16_y_145.0_rad_score_1session_12010.png,"[{'x': 237.31, 'y': 150.45} {'x': 42.16, 'y': 145.0}]",1,12010
output_image_line_x_268.2_y_148.27_x_22.53_y_142.82_rad_score_1session_12010.png,"[{'x': 268.2, 'y': 148.27} {'x': 22.53, 'y': 142.82}]",1,12010
output_image_line_x_272.56_y_141.73_x_41.07_y_145.36_rad_score_3session_12110.png,"[{'x': 272.56, 'y': 141.73} {'x': 41.07, 'y': 145.36}]",3,12110
output_image_line_x_247.84_y_141.37_x_48.7_y_147.91_rad_score_3session_12110.png,"[{'x': 247.84, 'y': 141.37} {'x': 48.7, 'y': 147.91}]",3,12110
output_image_line_x_39.61_y_143.91_x_270.01_y_143.55_rad_score_3session_12110.png,"[{'x': 39.61, 'y': 143.91} {'x': 270.01, 'y': 143.55}]",3,12110
output_image_line_x_264.2_y_145.0_x_34.89_y_142.82_rad_score_2session_12501.png,"[{'x': 264.2, 'y': 145.0} {'x': 34.89, 'y': 142.82}]",2,12501
output_image_line_x_245.66_y_145.73_x_55.24_y_143.55_rad_score_2session_12501.png,"[{'x': 245.66, 'y': 145.73} {'x': 55.24, 'y': 143.55}]",2,12501
output_image_line_x_265.29_y_144.27_x_35.61_y_142.09_rad_score_2session_12501.png,"[{'x': 265.29, 'y': 144.27} {'x': 35.61, 'y': 142.09}]",2,12501
output_image_line_x_271.47_y_145.36_x_30.16_y_138.46_rad_score_1session_13801.png,"[{'x': 271.47, 'y': 145.36} {'x': 30.16, 'y': 138.46}]",1,13801
output_image_line_x_247.48_y_142.82_x_39.25_y_141.73_rad_score_1session_13801.png,"[{'x': 247.48, 'y': 142.82} {'x': 39.25, 'y': 141.73}]",1,13801
output_image_line_x_269.65_y_146.82_x_31.25_y_141.73_rad_score_1session_13801.png,"[{'x': 269.65, 'y': 146.82} {'x': 31.25, 'y': 141.73}]",1,13801
output_image_line_x_260.93_y_147.54_x_41.43_y_142.09_rad_score_1session_15102.png,"[{'x': 260.93, 'y': 147.54} {'x': 41.43, 'y': 142.09}]",1,15102
output_image_line_x_250.03_y_147.18_x_53.42_y_141.73_rad_score_1session_15102.png,"[{'x': 250.03, 'y': 147.18} {'x': 53.42, 'y': 141.73}]",1,15102
output_image_line_x_40.34_y_141.37_x_256.93_y_147.54_rad_score_1session_15102.png,"[{'x': 40.34, 'y': 141.37} {'x': 256.93, 'y': 147.54}]",1,15102
output_image_line_x_21.8_y_141.0_x_263.83_y_152.27_rad_score_1session_15710.png,"[{'x': 21.8, 'y': 141.0} {'x': 263.83, 'y': 152.27}]",1,15710
output_image_line_x_35.61_y_142.82_x_249.66_y_150.81_rad_score_1session_15710.png,"[{'x': 35.61, 'y': 142.82} {'x': 249.66, 'y': 150.81}]",1,15710
output_image_line_x_21.8_y_139.91_x_258.02_y_151.9_rad_score_1session_15710.png,"[{'x': 21.8, 'y': 139.91} {'x': 258.02, 'y': 151.9}]",1,15710
output_image_line_x_42.52_y_144.27_x_242.76_y_142.82_rad_score_1session_15810.png,"[{'x': 42.52, 'y': 144.27} {'x': 242.76, 'y': 142.82}]",1,15810
output_image_line_x_63.96_y_146.82_x_224.59_y_142.09_rad_score_1session_15810.png,"[{'x': 63.96, 'y': 146.82} {'x': 224.59, 'y': 142.09}]",1,15810
output_image_line_x_42.16_y_145.73_x_250.75_y_141.37_rad_score_1session_15810.png,"[{'x': 42.16, 'y': 145.73} {'x': 250.75, 'y': 141.37}]",1,15810
output_image_line_x_55.96_y_141.73_x_250.39_y_152.99_rad_score_1session_17610.png,"[{'x': 55.96, 'y': 141.73} {'x': 250.39, 'y': 152.99}]",1,17610
output_image_line_x_77.04_y_139.19_x_237.31_y_148.27_rad_score_1session_17610.png,"[{'x': 77.04, 'y': 139.19} {'x': 237.31, 'y': 148.27}]",1,17610
output_image_line_x_52.69_y_140.28_x_255.84_y_155.18_rad_score_1session_17610.png,"[{'x': 52.69, 'y': 140.28} {'x': 255.84, 'y': 155.18}]",1,17610
output_image_line_x_29.07_y_130.46_x_265.65_y_151.9_rad_score_2session_17710.png,"[{'x': 29.07, 'y': 130.46} {'x': 265.65, 'y': 151.9}]",2,17710
output_image_line_x_36.34_y_129.74_x_250.03_y_155.18_rad_score_2session_17710.png,"[{'x': 36.34, 'y': 129.74} {'x': 250.03, 'y': 155.18}]",2,17710
output_image_line_x_27.26_y_127.92_x_264.92_y_152.27_rad_score_2session_17710.png,"[{'x': 27.26, 'y': 127.92} {'x': 264.92, 'y': 152.27}]",2,17710
output_image_line_x_25.8_y_139.91_x_267.47_y_151.9_rad_score_1session_1800.png,"[{'x': 25.8, 'y': 139.91} {'x': 267.47, 'y': 151.9}]",1,1800
output_image_line_x_252.93_y_151.9_x_31.62_y_140.64_rad_score_1session_1800.png,"[{'x': 252.93, 'y': 151.9} {'x': 31.62, 'y': 140.64}]",1,1800
output_image_line_x_268.56_y_152.27_x_23.62_y_136.28_rad_score_1session_1800.png,"[{'x': 268.56, 'y': 152.27} {'x': 23.62, 'y': 136.28}]",1,1800
output_image_line_x_26.53_y_139.55_x_260.2_y_150.45_rad_score_2session_18600.png,"[{'x': 26.53, 'y': 139.55} {'x': 260.2, 'y': 150.45}]",2,18600
output_image_line_x_37.79_y_141.37_x_246.39_y_150.81_rad_score_2session_18600.png,"[{'x': 37.79, 'y': 141.37} {'x': 246.39, 'y': 150.81}]",2,18600
output_image_line_x_28.71_y_141.0_x_259.11_y_149.0_rad_score_2session_18600.png,"[{'x': 28.71, 'y': 141.0} {'x': 259.11, 'y': 149.0}]",2,18600
output_image_line_x_18.9_y_135.91_x_267.47_y_160.99_rad_score_5session_19010.png,"[{'x': 18.9, 'y': 135.91} {'x': 267.47, 'y': 160.99}]",5,19010
output_image_line_x_31.62_y_140.64_x_260.2_y_158.45_rad_score_5session_19010.png,"[{'x': 31.62, 'y': 140.64} {'x': 260.2, 'y': 158.45}]",5,19010
output_image_line_x_266.38_y_156.63_x_17.08_y_139.55_rad_score_5session_19010.png,"[{'x': 266.38, 'y': 156.63} {'x': 17.08, 'y': 139.55}]",5,19010
output_image_line_x_30.53_y_134.1_x_247.48_y_158.81_rad_score_4session_19200.png,"[{'x': 30.53, 'y': 134.1} {'x': 247.48, 'y': 158.81}]",4,19200
output_image_line_x_41.43_y_133.01_x_237.31_y_154.81_rad_score_4session_19200.png,"[{'x': 41.43, 'y': 133.01} {'x': 237.31, 'y': 154.81}]",4,19200
output_image_line_x_27.26_y_134.46_x_253.3_y_158.45_rad_score_4session_19200.png,"[{'x': 27.26, 'y': 134.46} {'x': 253.3, 'y': 158.45}]",4,19200
output_image_line_x_36.34_y_137.37_x_257.66_y_148.27_rad_score_1session_20200.png,"[{'x': 36.34, 'y': 137.37} {'x': 257.66, 'y': 148.27}]",1,20200
output_image_line_x_42.88_y_140.28_x_240.21_y_150.81_rad_score_1session_20200.png,"[{'x': 42.88, 'y': 140.28} {'x': 240.21, 'y': 150.81}]",1,20200
output_image_line_x_36.7_y_135.55_x_260.93_y_147.91_rad_score_1session_20200.png,"[{'x': 36.7, 'y': 135.55} {'x': 260.93, 'y': 147.91}]",1,20200
output_image_line_x_21.08_y_141.37_x_274.37_y_139.55_rad_score_2session_20510.png,"[{'x': 21.08, 'y': 141.37} {'x': 274.37, 'y': 139.55}]",2,20510
output_image_line_x_42.52_y_138.1_x_262.74_y_127.92_rad_score_2session_20510.png,"[{'x': 42.52, 'y': 138.1} {'x': 262.74, 'y': 127.92}]",2,20510
output_image_line_x_23.62_y_144.64_x_270.74_y_141.73_rad_score_2session_20510.png,"[{'x': 23.62, 'y': 144.64} {'x': 270.74, 'y': 141.73}]",2,20510
output_image_line_x_24.35_y_131.55_x_266.74_y_156.27_rad_score_1session_20701.png,"[{'x': 24.35, 'y': 131.55} {'x': 266.74, 'y': 156.27}]",1,20701
